danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,artist_popularity,year,artistFeatured,billboard
0.43,0.704,-8.008,0.0804,0.000155,0.00221,0.0933,0.703,118.242,315120,74,72,1992,0,0
0.306,0.214,-12.518,0.0356,0.844,5.30E-06,0.0839,0.108,66.98,271093,77,83,1992,0,0
0.269,0.551,-8.456,0.0274,0.0307,0.000619,0.118,0.202,144.408,374333,69,74,1992,0,0
0.648,0.309,-12.432,0.0264,0.526,0.000249,0.124,0.407,112.929,303213,72,74,1992,0,0
0.606,0.706,-9.665,0.0379,0.362,0,0.16,0.819,174.533,148160,67,75,1992,0,0
0.426,0.504,-6.865,0.0636,0.703,4.22E-05,0.0911,0.687,186.379,213159,69,71,1992,0,0
0.693,0.533,-10.954,0.0402,0.107,0,0.0695,0.568,127.661,291907,68,64,1992,0,0
0.926,0.669,-11.271,0.301,0.0051,0,0.0887,0.642,128.462,262827,68,58,1992,0,0
0.54,0.401,-10.499,0.0364,0.576,0,0.164,0.24,152.974,289160,75,83,1992,0,0
0.759,0.756,-8.145,0.266,0.0903,2.36E-06,0.265,0.613,87.059,303493,68,63,1992,0,0
0.75,0.562,-8.45,0.0281,0.215,1.10E-06,0.105,0.807,115.008,253296,71,68,1992,0,0
0.61,0.891,-5.452,0.0587,0.000805,0.0928,0.0657,0.51,139.903,246733,72,72,1992,0,0
0.769,0.781,-5.472,0.0797,0.119,0.000371,0.0506,0.826,95.02,269973,65,74,1992,0,0
0.543,0.903,-6.658,0.039,0.0102,0.00585,0.0862,0.962,162.241,263306,72,81,1992,0,0
0.613,0.72,-7.957,0.0425,0.0132,0,0.104,0.561,117.341,265867,69,60,1992,0,0
0.426,0.94,-5.279,0.0423,0.00671,1.72E-06,0.14,0.466,144.49,313947,62,71,1992,0,0
0.159,0.946,-5.756,0.0629,0.0235,8.06E-06,0.387,0.309,164.997,149467,66,74,1992,0,0
0.695,0.336,-12.999,0.0313,0.8,0.00264,0.701,0.422,79.109,280000,74,77,1992,0,0
0.425,0.373,-7.543,0.0797,0.679,0,0.077,0.663,78.225,155307,69,76,1992,0,0
0.493,0.61,-6.992,0.0454,0.704,1.29E-05,0.0878,0.935,165.832,175891,66,71,1992,0,0
0.684,0.851,-9.792,0.0407,0.000613,0.0029,0.535,0.512,112.662,234080,64,59,1992,0,0
0.85,0.513,-10.663,0.0513,0.0624,0.00249,0.0689,0.623,99.01,278333,64,64,1992,0,0
0.662,0.485,-9.161,0.0304,0.00483,0.000295,0.086,0.171,107.767,334387,62,71,1992,0,0
0.761,0.687,-6.185,0.131,0.00469,0.00532,0.245,0.316,95.089,173427,62,74,1992,0,0
0.749,0.745,-10.625,0.164,0.000501,0.00403,0.333,0.481,101.972,195107,67,55,1992,0,0
0.471,0.797,-8.407,0.0389,0.000179,6.49E-06,0.299,0.497,152.903,236627,61,59,1992,0,0
0.64,0.852,-6.406,0.028,0.0907,0,0.151,0.903,139.949,194320,61,55,1992,0,0
